# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "gene_counts.txt" "-T" "8" "-t" "exon" "-g" "gene_id" "-s" "2" "SRR10551657_1.fastqAligned.out.bam" "SRR10551658_1.fastqAligned.out.bam" "SRR10551659_1.fastqAligned.out.bam" "SRR10551660.fastqAligned.out.bam" "SRR10551661.fastqAligned.out.bam" "SRR10551662.fastqAligned.out.bam" "SRR10551663_1.fastqAligned.out.bam" "SRR10551664_1.fastqAligned.out.bam" "SRR10551665_1.fastqAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657_1.fastqAligned.out.bam	SRR10551658_1.fastqAligned.out.bam	SRR10551659_1.fastqAligned.out.bam	SRR10551660.fastqAligned.out.bam	SRR10551661.fastqAligned.out.bam	SRR10551662.fastqAligned.out.bam	SRR10551663_1.fastqAligned.out.bam	SRR10551664_1.fastqAligned.out.bam	SRR10551665_1.fastqAligned.out.bam
YKL004W	NC_001143.9	435580	436785	+	1206	52	36	38	54	52	42	56	66	48
YKL003C	NC_001143.9	437097	437492	-	396	55	47	48	57	58	20	25	30	40
YKL002W	NC_001143.9;NC_001143.9	437778;437906	437837;438544	+;+	699	270	182	157	155	190	62	151	149	174
YKL001C	NC_001143.9	438777	439385	-	609	234	206	261	93	124	52	24	20	26
YKR001C	NC_001143.9	440608	442722	-	2115	121	78	75	249	137	110	143	163	184
YKR002W	NC_001143.9	443232	444938	+	1707	67	57	68	69	83	37	62	93	67
YKR003W	NC_001143.9	445381	446727	+	1347	34	19	26	75	44	33	23	34	25
YKR004C	NC_001143.9;NC_001143.9	446799;447811	447706;448036	-;-	1134	6	19	12	10	17	4	21	9	18
YKR005C	NC_001143.9;NC_001143.9	448521;450021	449951;450167	-;-	1578	12	9	8	39	25	13	24	23	25
YKR006C	NC_001143.9	450423	451217	-	795	70	36	40	90	79	44	37	44	56
YKR007W	NC_001143.9	451434	451988	+	555	27	18	20	36	45	16	23	20	24
YKR008W	NC_001143.9	452201	454078	+	1878	69	59	62	133	84	22	46	73	73
YKR009C	NC_001143.9	454352	457054	-	2703	49	28	37	30	18	20	120	138	143
YNCK0016W	NC_001143.9;NC_001143.9	458557;458627	458594;458670	+;+	82	0	0	0	1	0	0	0	0	0
YKR010C	NC_001143.9	458924	461239	-	2316	48	37	30	70	56	21	23	37	32
YKR011C	NC_001143.9	461635	462696	-	1062	358	316	324	107	146	37	60	58	59
YKR013W	NC_001143.9	463959	464948	+	990	123	72	105	116	66	64	28	29	16
YKR014C	NC_001143.9	465367	466071	-	705	92	58	76	156	133	45	35	54	64
YKR015C	NC_001143.9	466961	468667	-	1707	120	78	100	40	60	13	19	22	29
YKR016W	NC_001143.9	469717	471339	+	1623	452	293	320	373	453	79	110	142	156
YKR017C	NC_001143.9	471694	473349	-	1656	13	8	9	34	20	15	29	30	25
YKR018C	NC_001143.9	473723	475900	-	2178	114	67	87	185	90	141	251	265	244
YKR019C	NC_001143.9	476216	478063	-	1848	12	9	9	19	14	10	33	29	35
YKR020W	NC_001143.9	478338	478832	+	495	15	7	4	21	25	6	9	15	15
YKR021W	NC_001143.9	479234	481981	+	2748	55	23	29	72	63	50	108	160	137
YKR022C	NC_001143.9	482171	483139	-	969	17	19	22	43	33	4	16	21	30
YKR023W	NC_001143.9	483419	485011	+	1593	82	58	56	73	136	15	28	49	55
YKR024C	NC_001143.9	485144	487372	-	2229	34	21	12	34	22	20	18	25	31
YKR025W	NC_001143.9	487770	488618	+	849	21	10	12	32	38	13	27	26	43
YKR026C	NC_001143.9	488738	489655	-	918	7	6	6	33	12	10	15	24	17
YNCK0017W	NC_001143.9	490968	491040	+	73	1	0	0	0	0	0	0	0	0
YKR027W	NC_001143.9	491364	493661	+	2298	16	9	9	43	22	32	28	39	34
YKR028W	NC_001143.9	494257	497358	+	3102	66	31	44	126	88	60	112	113	114
YKR029C	NC_001143.9	497578	499833	-	2256	53	40	34	58	56	17	36	55	50
YKR030W	NC_001143.9	500282	501103	+	822	9	6	7	18	12	14	17	10	11
YKR031C	NC_001143.9	501344	506395	-	5052	96	81	76	169	134	46	275	369	388
YKR032W	NC_001143.9	506517	506831	+	315	0	0	1	0	0	0	0	0	0
YKR034W	NC_001143.9	506898	507707	+	810	92	41	40	134	107	43	409	461	495
YKR035W-A	NC_001143.9	507939	508553	+	615	164	118	127	138	156	37	74	82	103
YKR036C	NC_001143.9	508702	510633	-	1932	19	14	15	23	21	12	21	24	23
YKR037C	NC_001143.9	510910	511797	-	888	15	16	11	31	23	19	24	13	16
YKR038C	NC_001143.9	511999	513159	-	1161	45	22	26	54	65	45	59	70	53
YNCK0018C	NC_001143.9	513332	513403	-	72	1	0	0	0	0	0	0	0	0
YKR039W	NC_001143.9	515063	516871	+	1809	499	304	272	1615	1467	648	2120	2144	2134
YNCK0019W	NC_001143.9	517988	518060	+	73	0	0	0	0	0	0	0	1	0
YKR041W	NC_001143.9	518198	518950	+	753	8	4	5	1	4	2	1	1	1
YKR042W	NC_001143.9	519527	520624	+	1098	257	179	210	180	247	140	165	153	132
YKR043C	NC_001143.9	520897	521712	-	816	41	25	22	85	58	52	71	77	73
YKR044W	NC_001143.9	522015	523346	+	1332	20	10	21	33	37	19	19	31	25
YKR045C	NC_001143.9	523418	523969	-	552	11	6	5	8	14	7	3	8	6
YKR046C	NC_001143.9	524223	525074	-	852	377	201	256	526	427	321	674	791	698
YKR048C	NC_001143.9	525387	526640	-	1254	105	80	105	102	118	86	101	110	105
YKR049C	NC_001143.9	526830	527231	-	402	218	129	185	152	162	91	109	177	193
YKR050W	NC_001143.9	527815	530484	+	2670	14	10	12	9	4	10	15	15	22
YKR051W	NC_001143.9	530946	532202	+	1257	38	21	26	26	28	22	33	47	39
YKR052C	NC_001143.9	532550	533464	-	915	18	8	2	37	50	37	23	25	36
YKR053C	NC_001143.9	534067	535281	-	1215	30	13	29	46	36	20	25	26	24
YKR054C	NC_001143.9	535647	547925	-	12279	181	133	146	260	204	118	259	347	322
YKR055W	NC_001143.9	548216	549091	+	876	14	11	10	30	16	10	33	35	31
YKR056W	NC_001143.9	549448	551367	+	1920	39	21	25	78	45	37	43	59	52
YKR057W	NC_001143.9;NC_001143.9	551657;552003	551680;552242	+;+	264	117	58	73	209	121	105	66	71	81
YKR058W	NC_001143.9	552770	554620	+	1851	178	172	243	32	55	15	56	68	78
YKR059W	NC_001143.9	554987	556174	+	1188	37	23	20	42	50	22	19	40	26
YKR060W	NC_001143.9	556518	557342	+	825	11	5	5	21	24	20	16	11	15
YKR061W	NC_001143.9	557677	558954	+	1278	54	39	52	101	107	85	25	39	38
YNCK0020C	NC_001143.9	559016	559366	-	351	69	56	91	103	92	171	110	97	138
YKR062W	NC_001143.9	559666	560652	+	987	46	19	26	48	51	40	56	65	48
YKR063C	NC_001143.9	560789	562297	-	1509	51	29	38	73	72	33	45	68	88
YKR064W	NC_001143.9	562547	565138	+	2592	56	31	33	104	69	27	59	84	65
YKR065C	NC_001143.9	565299	565892	-	594	65	50	54	68	65	51	37	40	38
YKR066C	NC_001143.9	566113	567198	-	1086	128	94	99	93	135	72	234	232	193
YKR067W	NC_001143.9	567918	570149	+	2232	156	120	137	97	111	55	94	110	111
YKR068C	NC_001143.9	570328	570909	-	582	45	26	28	65	56	46	42	76	54
YKR069W	NC_001143.9	571612	573393	+	1782	189	142	173	54	55	30	30	33	32
YKR070W	NC_001143.9	573574	574632	+	1059	10	6	7	39	35	36	41	48	50
YKR071C	NC_001143.9	574934	575980	-	1047	439	312	333	444	559	181	176	223	223
YKR072C	NC_001143.9	576435	578123	-	1689	80	59	77	64	98	29	79	100	84
YKR073C	NC_001143.9	578187	578507	-	321	1	0	0	0	1	0	0	2	0
YNCK0021W	NC_001143.9;NC_001143.9	578965;579025	579001;579060	+;+	73	0	0	3	1	0	1	0	1	2
YKR074W	NC_001143.9	579209	579676	+	468	35	18	34	65	52	34	16	25	26
YKR075C	NC_001143.9	579827	580750	-	924	479	363	402	60	86	32	47	62	55
YKR076W	NC_001143.9	582283	583395	+	1113	209	127	141	408	272	241	69	90	75
YKR077W	NC_001143.9	583653	584744	+	1092	27	19	29	66	56	28	12	11	22
YKR078W	NC_001143.9	584952	586709	+	1758	16	16	11	29	32	2	20	31	28
YKR079C	NC_001143.9	586789	589305	-	2517	22	12	8	44	26	15	16	26	25
YKR080W	NC_001143.9	590395	591357	+	963	53	35	41	130	87	67	40	39	53
YKR081C	NC_001143.9	591506	592540	-	1035	48	33	34	74	48	31	26	41	38
YKR082W	NC_001143.9	592825	596298	+	3474	40	23	32	108	50	38	51	77	78
YKR083C	NC_001143.9	596421	596822	-	402	20	10	6	22	20	5	4	3	6
YKR084C	NC_001143.9	597055	598890	-	1836	26	17	13	68	47	41	47	61	60
YKR085C	NC_001143.9	599094	599681	-	588	67	44	49	71	93	44	10	33	27
YKR086W	NC_001143.9	599857	603072	+	3216	39	24	27	64	57	22	68	53	47
YKR087C	NC_001143.9	603195	604232	-	1038	22	13	18	29	31	14	26	41	36
YKR088C	NC_001143.9	604405	605418	-	1014	21	16	19	54	34	55	56	57	47
YKR089C	NC_001143.9	605633	608365	-	2733	101	68	75	84	62	50	119	140	135
YKR090W	NC_001143.9	608946	611066	+	2121	23	14	13	19	33	16	22	31	22
YKR091W	NC_001143.9	611525	612265	+	741	17	18	13	19	16	10	18	17	18
YKR092C	NC_001143.9	612665	613885	-	1221	28	13	14	17	29	6	13	17	13
YKR093W	NC_001143.9	615730	617535	+	1806	152	106	123	385	275	256	676	707	652
YKR094C	NC_001143.9;NC_001143.9	617996;618743	618374;618750	-;-	387	257	123	121	366	256	142	82	94	115
YKR095W	NC_001143.9	619805	625432	+	5628	636	430	481	294	704	37	174	209	273
YKR095W-A	NC_001143.9;NC_001143.9	625864;625977	625901;626205	+;+	267	9	7	8	23	21	5	6	4	6
YKR096W	NC_001143.9	626793	630380	+	3588	114	78	91	140	116	78	197	236	238
YKR097W	NC_001143.9	631152	632801	+	1650	282	113	149	683	493	318	12	13	13
YKR098C	NC_001143.9	633026	635179	-	2154	26	25	32	18	19	5	27	43	35
YKR099W	NC_001143.9	635851	638286	+	2436	51	34	29	59	43	15	68	64	84
YKR100C	NC_001143.9	638901	639968	-	1068	176	122	101	120	124	35	125	135	135
YKR101W	NC_001143.9	640540	642504	+	1965	29	20	30	59	52	17	42	52	54
YKR102W	NC_001143.9	646356	649865	+	3510	16	7	9	15	20	11	51	53	46
YKR103W	NC_001143.9	653080	656736	+	3657	19	11	12	40	34	24	41	43	39
YKR104W	NC_001143.9	656836	657756	+	921	1	8	3	13	15	6	13	13	26
YKR105C	NC_001143.9	658716	660464	-	1749	4	0	2	1	0	2	2	3	2
YKR106W	NC_001143.9	661442	663289	+	1848	2	1	0	0	1	0	0	0	0
YLL067C	NC_001144.5;NC_001144.5	585;4015	3915;4301	-;-	3618	0	0	0	0	0	0	0	0	0
YLL066W-B	NC_001144.5	5605	5775	+	171	0	0	0	0	0	0	0	0	0
YLL066C	NC_001144.5;NC_001144.5	6120;9550	9450;9836	-;-	3618	0	0	0	0	0	0	0	0	0
YLL064C	NC_001144.5	13083	13445	-	363	0	0	0	0	0	0	0	0	0
YLL063C	NC_001144.5	14648	16072	-	1425	0	0	0	0	0	0	0	0	0
YLL062C	NC_001144.5	16639	17613	-	975	43	32	33	47	41	16	6	10	11
YLL061W	NC_001144.5	17956	19707	+	1752	49	26	42	57	46	37	28	39	27
YLL060C	NC_001144.5	21138	21839	-	702	15	8	9	140	90	80	38	56	40
YLL058W	NC_001144.5	23569	25296	+	1728	37	26	23	53	47	34	78	97	78
YLL057C	NC_001144.5	25756	26994	-	1239	16	12	14	8	6	5	6	15	11
YLL056C	NC_001144.5	27409	28305	-	897	101	61	82	119	127	82	78	78	77
YLL055W	NC_001144.5	30109	31704	+	1596	493	354	352	293	388	158	246	312	238
YLL054C	NC_001144.5	32673	35204	-	2532	17	17	19	74	40	44	36	61	49
YLL053C	NC_001144.5	35503	35961	-	459	26	17	21	3	10	2	4	6	4
YLL052C	NC_001144.5	35912	36361	-	450	11	4	9	2	5	3	6	4	5
YLL051C	NC_001144.5	37333	39471	-	2139	18	11	14	50	22	27	44	66	50
YLL050C	NC_001144.5;NC_001144.5	39804;40401	40221;40414	-;-	432	349	191	215	438	392	161	155	236	244
YLL049W	NC_001144.5	40666	41205	+	540	27	11	12	32	26	20	19	22	33
YLL048C	NC_001144.5	41280	46265	-	4986	297	216	264	324	221	201	282	307	303
YLL046C	NC_001144.5	46714	47463	-	750	56	40	50	9	16	3	4	1	3
YLL045C	NC_001144.5	47859	48629	-	771	248	123	131	437	217	232	160	193	189
YLL043W	NC_001144.5	49938	51947	+	2010	57	43	49	54	55	31	39	43	51
YLL042C	NC_001144.5	52087	52590	-	504	28	19	24	24	18	4	13	7	8
YLL041C	NC_001144.5	53131	53931	-	801	293	190	242	798	522	494	266	323	270
YLL040C	NC_001144.5	54211	63645	-	9435	795	618	678	415	331	212	642	801	732
YLL039C	NC_001144.5	64062	65207	-	1146	1471	1104	1247	1292	952	957	1056	1289	1273
YLL038C	NC_001144.5	65775	66518	-	744	15	12	13	21	20	13	24	38	30
YLL036C	NC_001144.5	66745	68256	-	1512	21	12	27	55	46	36	26	42	48
YLL035W	NC_001144.5	68580	70478	+	1899	21	6	5	31	31	12	13	19	18
YLL034C	NC_001144.5	70633	73146	-	2514	31	18	19	57	34	16	12	18	15
YLL033W	NC_001144.5	73409	74101	+	693	24	11	6	11	6	5	9	10	8
YLL032C	NC_001144.5	74270	76747	-	2478	38	29	23	43	47	16	35	51	40
YLL031C	NC_001144.5	77152	80205	-	3054	48	26	26	105	48	65	100	100	109
YLL030C	NC_001144.5	80356	80697	-	342	2	2	1	0	4	0	0	0	0
YLL029W	NC_001144.5	81461	83710	+	2250	382	291	342	219	280	119	202	265	211
YLL028W	NC_001144.5	84804	86564	+	1761	436	287	408	359	284	238	386	403	353
YLL027W	NC_001144.5	87403	88155	+	753	251	160	173	203	197	100	100	105	111
YLL026W	NC_001144.5	88623	91349	+	2727	7523	5949	6777	1240	1836	517	666	881	837
YNCL0001W	NC_001144.5;NC_001144.5	92548;92615	92583;92650	+;+	72	1	1	0	0	0	1	0	0	0
YLL025W	NC_001144.5	94747	95121	+	375	1	0	3	1	3	0	2	8	7
YLL024C	NC_001144.5	95566	97485	-	1920	828	612	528	635	515	386	337	347	376
YLL023C	NC_001144.5	97997	98836	-	840	92	75	94	47	63	39	77	73	65
YLL022C	NC_001144.5	99044	100201	-	1158	16	13	11	32	23	22	19	36	26
YLL021W	NC_001144.5	100947	105347	+	4401	128	92	111	116	139	36	90	110	114
YLL019C	NC_001144.5	105686	107899	-	2214	370	331	365	301	275	177	388	385	428
YLL018C-A	NC_001144.5	108676	108972	-	297	12	1	8	10	8	7	10	12	17
YLL018C	NC_001144.5	109902	111575	-	1674	289	183	223	236	163	156	124	134	158
YLL017W	NC_001144.5	112234	112545	+	312	6	5	6	2	2	3	4	6	4
YLL016W	NC_001144.5	112847	115993	+	3147	41	33	28	49	33	19	83	103	106
YLL015W	NC_001144.5	116432	121111	+	4680	84	53	61	236	140	165	162	180	193
YLL014W	NC_001144.5	121322	121648	+	327	33	27	39	48	52	37	31	35	30
YLL013C	NC_001144.5	122075	124714	-	2640	208	140	135	114	129	43	105	133	141
YLL012W	NC_001144.5	125534	127255	+	1722	27	27	26	22	21	7	72	54	52
YLL011W	NC_001144.5	127523	128992	+	1470	36	7	13	45	28	20	12	12	18
YLL010C	NC_001144.5	129330	130613	-	1284	36	27	27	17	22	13	28	25	28
YLL009C	NC_001144.5	131205	131414	-	210	595	483	561	297	519	62	42	51	81
YLL008W	NC_001144.5	131729	133987	+	2259	75	31	39	58	58	13	29	37	51
YLL007C	NC_001144.5	134302	136299	-	1998	26	24	17	50	39	23	34	29	39
YLL006W-A	NC_001144.5	136345	136521	+	177	2	2	1	3	0	2	0	0	1
YLL006W	NC_001144.5	136586	137866	+	1281	7	14	10	63	26	30	24	35	38
YLL005C	NC_001144.5	137940	140546	-	2607	57	37	35	75	95	38	69	83	89
YLL004W	NC_001144.5	141073	142923	+	1851	15	6	11	26	16	11	13	21	13
YLL003W	NC_001144.5	143201	146041	+	2841	39	27	34	69	63	18	59	83	86
YLL002W	NC_001144.5	146291	147601	+	1311	14	8	3	9	11	7	9	7	3
YLL001W	NC_001144.5	147890	150163	+	2274	109	85	73	121	113	62	62	85	60
YLR001C	NC_001144.5	151389	153977	-	2589	72	49	61	127	103	59	165	192	180
YLR002C	NC_001144.5	154343	156334	-	1992	21	24	20	55	43	12	28	39	48
YLR003C	NC_001144.5	156855	157730	-	876	51	39	24	45	49	7	16	25	30
YLR004C	NC_001144.5	157934	159505	-	1572	25	13	17	19	9	8	132	147	143
YLR005W	NC_001144.5	160049	161434	+	1386	53	37	26	105	59	61	155	176	214
YLR006C	NC_001144.5	161755	163893	-	2139	63	60	61	76	53	49	68	53	87
YLR007W	NC_001144.5	164392	165402	+	1011	52	35	38	52	47	22	67	97	86
YLR008C	NC_001144.5	165577	166083	-	507	20	18	7	46	37	22	7	11	15
YLR009W	NC_001144.5	166537	167136	+	600	46	35	32	84	86	19	14	21	24
YLR010C	NC_001144.5	167320	167802	-	483	8	8	9	13	15	11	8	9	11
YNCL0002C	NC_001144.5	167944	168025	-	82	0	0	0	0	0	0	0	0	0
YLR011W	NC_001144.5	169103	169678	+	576	8	5	4	21	11	10	10	13	9
YLR012C	NC_001144.5	169982	170281	-	300	0	0	0	2	1	0	0	0	1
YLR013W	NC_001144.5	171339	171764	+	426	2	0	0	2	1	0	0	0	0
YLR014C	NC_001144.5	172268	174982	-	2715	3	7	8	41	24	20	30	32	36
YLR015W	NC_001144.5	175227	176744	+	1518	26	16	24	69	48	16	35	42	45
YLR016C	NC_001144.5	176802	177416	-	615	23	9	10	37	23	27	25	23	13
YLR017W	NC_001144.5	177608	178621	+	1014	30	14	21	64	48	21	28	42	23
YLR018C	NC_001144.5	178707	179606	-	900	33	26	25	34	39	23	17	26	24
YLR019W	NC_001144.5	180288	181481	+	1194	88	56	77	55	65	37	79	82	71
YLR020C	NC_001144.5	181789	183405	-	1617	22	13	12	72	47	34	35	34	49
YLR021W	NC_001144.5	183623	184162	+	540	13	11	10	29	33	8	12	11	10
YLR022C	NC_001144.5	184174	184926	-	753	21	12	12	17	16	19	12	18	14
YLR023C	NC_001144.5	185498	187129	-	1632	31	23	15	155	97	73	162	179	163
YLR024C	NC_001144.5	187663	193281	-	5619	107	60	83	125	117	54	258	314	296
YLR025W	NC_001144.5	194452	195174	+	723	140	89	105	129	115	45	57	90	107
YLR026C	NC_001144.5	195450	196472	-	1023	43	30	25	46	38	4	10	28	19
YLR027C	NC_001144.5	196829	198085	-	1257	179	114	145	309	226	170	112	128	106
YNCL0003W	NC_001144.5	198784	199389	+	606	450	385	485	326	367	502	250	266	290
YLR028C	NC_001144.5	199540	201315	-	1776	153	121	139	119	138	75	125	171	141
YLR029C	NC_001144.5	201976	202590	-	615	300	140	160	749	525	356	242	309	342
YLR030W	NC_001144.5	203290	204081	+	792	6	7	6	6	3	3	7	4	8
YLR031W	NC_001144.5	204225	204785	+	561	4	9	6	4	1	3	2	4	1
YLR032W	NC_001144.5	204991	208500	+	3510	41	29	25	46	47	38	53	58	70
YLR033W	NC_001144.5	208761	210269	+	1509	49	37	30	54	81	24	33	48	45
YLR034C	NC_001144.5	210512	211933	-	1422	49	26	39	177	96	141	77	90	85
YLR035C	NC_001144.5	212369	214456	-	2088	35	23	19	29	23	12	49	45	53
YNCL0004C	NC_001144.5	214883	214955	-	73	0	0	0	0	0	0	0	0	0
YLR035C-A	NC_001144.5	215440	218907	-	3468	0	0	0	0	0	0	0	0	0
YLR036C	NC_001144.5	221521	222132	-	612	7	2	5	16	18	6	1	6	8
YLR037C	NC_001144.5	222685	223059	-	375	6	4	4	5	5	0	1	5	2
YLR038C	NC_001144.5	224921	225172	-	252	394	265	259	822	1033	250	182	242	294
YLR039C	NC_001144.5	225426	228596	-	3171	47	26	34	170	158	68	54	47	63
YLR040C	NC_001144.5	228908	229582	-	675	13	11	8	4	4	6	3	7	9
YLR042C	NC_001144.5	229966	230451	-	486	23	10	6	7	2	2	2	4	3
YLR043C	NC_001144.5	231702	232013	-	312	274	219	185	235	205	92	119	134	128
YLR044C	NC_001144.5	232390	234081	-	1692	400	256	361	309	494	251	1454	1518	1406
YLR045C	NC_001144.5	235037	237703	-	2667	88	81	52	55	64	22	13	22	29
YLR046C	NC_001144.5	238001	238813	-	813	12	19	21	22	41	14	30	33	20
YLR047C	NC_001144.5	239347	241407	-	2061	12	7	14	37	19	19	19	23	35
YLR048W	NC_001144.5;NC_001144.5	242232;242681	242321;243349	+;+	759	115	61	67	456	252	289	195	240	189
YLR049C	NC_001144.5	243886	245172	-	1287	57	37	48	46	31	15	34	37	35
YLR050C	NC_001144.5	245587	246072	-	486	39	39	40	53	32	35	39	41	41
YLR051C	NC_001144.5	246324	246977	-	654	51	21	33	61	63	16	18	26	24
YLR052W	NC_001144.5	247201	247953	+	753	21	12	5	22	17	6	20	20	11
YLR053C	NC_001144.5	248100	248426	-	327	34	33	25	29	26	11	76	104	104
YLR054C	NC_001144.5;NC_001144.5	248717;250948	250860;250978	-;-	2175	11	8	8	9	19	3	33	17	24
YLR055C	NC_001144.5	251272	253080	-	1809	19	20	15	28	29	25	28	31	18
YLR056W	NC_001144.5	253861	254958	+	1098	48	32	24	429	202	256	292	271	296
YLR057W	NC_001144.5	255306	257855	+	2550	34	19	25	73	68	29	48	56	67
YLR058C	NC_001144.5	257992	259401	-	1410	140	64	89	212	144	114	80	69	96
YLR059C	NC_001144.5	259738	260547	-	810	36	22	45	31	32	23	17	27	18
YLR060W	NC_001144.5	260979	262766	+	1788	49	26	34	137	75	93	58	73	88
YLR061W	NC_001144.5;NC_001144.5	263194;263595	263205;263948	+;+	366	223	101	119	292	273	89	80	94	134
YLR063W	NC_001144.5	264157	265254	+	1098	4	3	5	16	9	7	7	6	4
YLR064W	NC_001144.5	265456	266277	+	822	212	164	175	132	162	100	79	94	88
YLR065C	NC_001144.5	266373	266918	-	546	15	11	7	39	19	13	9	25	11
YLR066W	NC_001144.5	267169	267723	+	555	29	22	21	59	38	20	27	24	31
YLR067C	NC_001144.5	267813	270710	-	2898	42	34	24	75	76	22	36	32	39
YLR068W	NC_001144.5	271008	271463	+	456	42	23	32	22	68	5	6	9	12
YLR069C	NC_001144.5	271630	273915	-	2286	85	78	71	185	116	76	59	78	81
YLR070C	NC_001144.5	274141	275211	-	1071	6	3	6	7	12	5	11	12	20
YLR071C	NC_001144.5	275378	278626	-	3249	58	33	38	82	68	28	63	86	76
YLR072W	NC_001144.5	278862	280943	+	2082	32	24	30	33	23	16	30	46	49
YLR073C	NC_001144.5	281019	281621	-	603	14	7	2	16	6	4	7	8	6
YLR074C	NC_001144.5	281956	282456	-	501	56	34	53	42	45	18	25	33	21
YLR075W	NC_001144.5	282927	283592	+	666	998	469	562	2233	1238	1304	474	584	562
YLR077W	NC_001144.5	283872	285623	+	1752	38	29	29	82	76	38	57	71	64
YLR078C	NC_001144.5;NC_001144.5	285736;286557	286467;286559	-;-	735	33	23	25	41	35	19	20	16	27
YLR079W	NC_001144.5	286820	287674	+	855	112	93	85	33	46	9	23	22	18
YLR080W	NC_001144.5	287916	289250	+	1335	39	32	25	40	49	16	53	60	62
YLR081W	NC_001144.5	290212	291936	+	1725	8	5	3	1	2	0	6	12	5
YLR082C	NC_001144.5	292394	293572	-	1179	18	8	6	26	26	11	23	30	33
YLR083C	NC_001144.5	294091	296094	-	2004	47	19	17	90	56	76	74	57	68
YLR084C	NC_001144.5	296589	300251	-	3663	30	17	14	47	26	38	25	27	32
YLR085C	NC_001144.5	300673	301989	-	1317	17	20	17	37	19	19	14	24	28
YLR086W	NC_001144.5	302243	306499	+	4257	96	61	61	89	120	25	86	108	100
YLR087C	NC_001144.5	306855	315731	-	8877	136	110	100	161	164	138	326	368	314
YLR088W	NC_001144.5	316107	317951	+	1845	15	9	9	56	33	28	26	35	31
YLR089C	NC_001144.5	318237	320015	-	1779	74	35	48	120	75	73	57	69	60
YLR090W	NC_001144.5	320701	322080	+	1380	36	26	31	43	59	35	33	37	46
YLR091W	NC_001144.5	322297	323178	+	882	9	3	9	20	5	9	6	17	7
YLR092W	NC_001144.5	323544	326225	+	2682	432	331	398	47	67	41	48	73	37
YLR093C	NC_001144.5;NC_001144.5	326513;327400	327258;327415	-;-	762	60	48	41	74	59	31	45	68	53
YLR094C	NC_001144.5	327730	329238	-	1509	44	45	39	25	21	19	18	16	13
YLR095C	NC_001144.5	329677	332115	-	2439	89	45	56	52	91	26	41	40	41
YLR096W	NC_001144.5	332590	336033	+	3444	23	26	12	60	41	26	62	73	84
YLR097C	NC_001144.5	336231	337265	-	1035	55	27	34	87	82	45	87	101	115
YLR098C	NC_001144.5	337527	339473	-	1947	6	6	10	27	22	13	38	52	52
YLR099C	NC_001144.5	339744	340928	-	1185	65	38	56	49	50	48	16	16	18
YLR099W-A	NC_001144.5	341325	341588	+	264	35	30	29	21	13	18	7	10	8
YLR100W	NC_001144.5	341810	342853	+	1044	30	23	20	93	67	56	94	83	107
YLR102C	NC_001144.5	342970	343767	-	798	18	19	13	30	23	24	22	21	23
YLR103C	NC_001144.5	343989	345941	-	1953	12	9	11	34	16	21	3	11	13
YLR104W	NC_001144.5	346585	346980	+	396	45	25	21	88	116	30	21	23	26
YLR105C	NC_001144.5	347047	348180	-	1134	25	22	31	22	26	6	23	29	29
YNCL0005C	NC_001144.5	348427	348510	-	84	3	2	1	2	1	2	2	1	2
YLR106C	NC_001144.5	349006	363738	-	14733	284	215	213	288	333	143	345	406	437
YLR107W	NC_001144.5	364116	365330	+	1215	24	21	26	57	48	27	45	47	57
YNCL0006W	NC_001144.5	366235	366346	+	112	14	15	26	67	38	150	25	23	30
YLR108C	NC_001144.5	366667	368124	-	1458	25	9	10	71	51	45	55	70	67
YLR109W	NC_001144.5	368781	369311	+	531	370	284	387	94	162	52	139	156	159
YLR110C	NC_001144.5	369697	370098	-	402	4439	2418	2890	6549	5079	4569	3593	3828	3565
YLR111W	NC_001144.5	370391	370723	+	333	1	0	3	0	1	0	0	1	0
YLR112W	NC_001144.5	370791	371210	+	420	4	1	0	0	2	1	2	1	0
YLR113W	NC_001144.5	371620	372927	+	1308	129	69	86	89	78	77	63	80	65
YNCL0007W	NC_001144.5	374355	374427	+	73	0	0	0	0	0	0	0	0	0
YLR114C	NC_001144.5	374944	377238	-	2295	32	30	38	89	39	21	63	67	75
YLR115W	NC_001144.5	377985	380564	+	2580	78	40	39	43	60	16	33	38	34
YLR116W	NC_001144.5	380822	382252	+	1431	26	14	16	12	8	9	12	11	16
YLR117C	NC_001144.5	382471	384534	-	2064	36	27	31	42	53	15	45	72	61
YLR118C	NC_001144.5	384725	385408	-	684	24	19	23	60	42	34	39	49	40
YLR119W	NC_001144.5	385534	386175	+	642	26	19	26	24	37	4	16	18	19
YLR120C	NC_001144.5	386511	388220	-	1710	90	49	57	204	134	188	116	111	121
YLR121C	NC_001144.5	388744	390270	-	1527	52	45	41	55	51	53	31	38	30
YLR122C	NC_001144.5	390954	391331	-	378	3	4	4	7	8	1	9	9	5
YLR125W	NC_001144.5	393484	393894	+	411	4	4	1	10	2	4	2	10	6
YLR126C	NC_001144.5	394765	395520	-	756	11	3	16	34	41	13	28	22	29
YLR127C	NC_001144.5	395758	398319	-	2562	17	12	11	21	20	17	14	26	18
YLR128W	NC_001144.5;NC_001144.5	398530;398627	398532;399433	+;+	810	13	2	6	26	16	9	18	18	13
